time,Mbol,u_lsst,g_lsst,r_lsst,i_lsst,z_lsst,Y_lsst,
1.776811644E9,-1.1505776,0.38235895908779,-0.946461170038215,-1.27659228152221,-1.33329322038271,-1.31766201736948,-1.31802859169539,0.97997
1.776811856E9,-1.148527633,0.386023205587503,-0.943501971400428,-1.2744580499701,-1.33155444336692,-1.31613746947742,-1.31656201339789,0.97997
1.776812068E9,-1.146466317,0.389696020754702,-0.940532582059179,-1.27231251332592,-1.32980383806309,-1.31460075964488,-1.31508314012691,0.97997
1.776812279E9,-1.144379113,0.393403359003854,-0.937532035881421,-1.27014053731692,-1.32802906539932,-1.31304106383837,-1.31358155813174,0.97997
1.776812491E9,-1.14225805,0.39715945815419,-0.934488835095591,-1.26793382453612,-1.32622336172473,-1.31145245014722,-1.31205156093471,0.97997
1.776812703E9,-1.140170301,0.400844490090248,-0.931499822137183,-1.26576229946676,-1.32444374760256,-1.3098849506286,-1.31054129082024,0.97997
1.776812914E9,-1.138055351,0.404566446376091,-0.928477738606871,-1.26356296820221,-1.32263886028785,-1.30829350365421,-1.30900739100635,0.97997
1.776813126E9,-1.135971439,0.40822144415021,-0.925506542522078,-1.26139645490161,-1.32085813814858,-1.30672148962789,-1.30749160377532,0.97997
1.776813338E9,-1.133901305,0.411840302884555,-0.922561338700133,-1.25924479226998,-1.31908693451694,-1.30515606146227,-1.30598156926911,0.97997
1.776813549E9,-1.131850203,0.415413669598637,-0.91964969413655,-1.2571134493167,-1.31732971236725,-1.3036011380663,-1.30448105966851,0.97997
1.776813761E9,-1.129813287,0.418950206615516,-0.916764616243795,-1.25499738154264,-1.31558236071734,-1.30205311494206,-1.30298660788182,0.97997
1.776813973E9,-1.127761151,0.422502393183677,-0.913863703818192,-1.25286597867549,-1.31381992106546,-1.30049009589687,-1.30147714648972,0.97997
1.776814184E9,-1.125728857,0.426007686869325,-0.910997503692954,-1.25075573882451,-1.31207215680961,-1.29893819704826,-1.29997780540098,0.97997
1.776814396E9,-1.123746284,0.429412794723041,-0.908209087843345,-1.24869776447711,-1.31036443251842,-1.29741967540214,-1.29851000129659,0.97997
1.776814608E9,-1.121714117,0.432894934134881,-0.905355259189553,-1.24658867311434,-1.30861245069599,-1.29586057275935,-1.29700257342291,0.97997
1.776814819E9,-1.119667795,0.43639090087608,-0.902487101999484,-1.24446535471889,-1.30684629684954,-1.29428728953492,-1.29548092575477,0.97997
1.776815031E9,-1.11763774,0.439846447486888,-0.899648463593225,-1.2423594764001,-1.3050917991589,-1.29272249166687,-1.29396686916533,0.97997
1.776815243E9,-1.115630917,0.443249184388368,-0.896849368109568,-1.24027828724753,-1.30335487622938,-1.29117137770904,-1.29246540778939,0.97997
1.776815454E9,-1.113609024,0.446667489605073,-0.894034575534729,-1.23818191580097,-1.30160302318224,-1.28960543442757,-1.29094910881559,0.97997
1.776815666E9,-1.111584902,0.450078488809525,-0.891222582481632,-1.23608372788023,-1.29984714608956,-1.28803423616933,-1.28942718672149,0.97997
